itemName,year,avgPrice
360 Bing Cherry Mini,2020,0.14101796407185624
Cedar Ridge Private Cask Bourbon Double Oak Cask Finish,2017,234.0
Bombay Dry Gin,2017,3.438008130081301
Bombay Dry Gin,2020,3.7668539325842696
Bombay Dry Gin,2018,3.1351256983240225
Bombay Dry Gin,2016,3.0268817204301075
Bombay Dry Gin,2019,3.336687306501548
Naked Turtle,2018,13.5
Naked Turtle,2020,9.0
Naked Turtle,2019,9.0
Burnetts Pink Lemonade Mini,2019,6.0
SOOH Monkey 47,2020,5.1875
Burnetts Citrus,2019,7.838768115942029
Burnetts Citrus,2020,6.418495297805642
Burnetts Citrus,2018,6.895027624309392
Admiral Nelson Spiced 101,2016,4.31201044386423
Admiral Nelson Spiced 101,2015,4.575949367088608
Admiral Nelson Spiced 101,2014,4.947852760736196
Admiral Nelson Spiced 101,2017,4.424050632911392
Admiral Nelson Spiced 101,2013,5.676616915422885
Admiral Nelson Spiced 101,2019,4.802770448548813
Admiral Nelson Spiced 101,2020,4.934352517985611
Admiral Nelson Spiced 101,2018,4.574013157894737
Admiral Nelson Spice Rum,2014,9.6
Admiral Nelson Spice Rum,2017,14.399999999999999
Admiral Nelson Spice Rum,2013,9.6
Burnetts Mango,2018,29.25
Fleischmanns Whiskey,2019,13.786259541984732
Fleischmanns Whiskey,2020,14.034217877094973
Scotch Whiskies,2019,13.5
Scotch Whiskies,2020,13.5
Scotch Whiskies,2018,12.704999999999998
Burnett's Lime Flavored Vodka,2015,12.0
SOOH Three Olives Orange,2020,9.975
SOOH Three Olives Orange,2019,45.0
Paramount Creme de Cacao Dark,2018,4.288235294117647
Paramount Creme de Cacao Dark,2019,3.898538961038961
Paramount Creme de Cacao Dark,2020,3.6391509433962264
Phillips Black 100 Herbal Schnapps,2012,6.173076923076923
Phillips Black 100 Herbal Schnapps,2013,23.4
Burnett's Blueberry Vodka,2014,31.5
Burnett's Blueberry Vodka,2017,13.5
Burnett's Blueberry Vodka,2012,36.0
Burnett's Blueberry Vodka,2015,45.0
Burnett's Blueberry Vodka,2018,15.0
Burnett's Blueberry Vodka,2016,12.857142857142858
Burnett's Blueberry Vodka,2013,18.0
Hiram Walker Butternips Schnapps,2012,12.0
El Dorado Special Reserve Rum,2013,4.5
El Dorado Special Reserve Rum,2012,4.5
El Dorado Special Reserve Rum,2016,5.625
Cruzan Mango,2019,6.199180327868852
Cruzan Mango,2020,6.921309192200557
Cruzan Mango,2018,5.127551020408164
Ransom Dry Gin,2018,9.0
Seagrams Seven Crown Orchard Apple Mini,2015,0.6976744186046512
Seagrams Seven Crown Orchard Apple Mini,2014,1.170731707317073
Dekuyper Lemon Drop,2015,9.0
Dekuyper Lemon Drop,2014,12.0
Dekuyper Lemon Drop,2012,9.0
Stoli Strasberri Vodka,2013,5.168103448275862
Stoli Strasberri Vodka,2012,5.664893617021277
Stoli Strasberri Vodka,2016,4.5561224489795915
Stoli Strasberri Vodka,2014,5.864516129032258
Stoli Strasberri Vodka,2017,1.5
Stoli Strasberri Vodka,2015,5.278688524590164
Gotcha Blended Whiskey 1L,2020,8.333333333333334
Tippy Cow Orange Cream,2017,2.49185667752443
Tippy Cow Orange Cream,2014,4.334586466165414
Tippy Cow Orange Cream,2016,2.6861022364217253
Tippy Cow Orange Cream,2020,2.407442748091603
Tippy Cow Orange Cream,2018,2.4525
Tippy Cow Orange Cream,2019,2.2381422924901186
Tippy Cow Orange Cream,2015,3.3900523560209423
Penny Blue XO Rum,2018,4.5
Penny Blue XO Rum,2016,4.5
Row Vodka,2020,11.642238892094634
Row Vodka,2019,12.606554781507283
Row Vodka,2018,28.926304654442877
HA Carsebridge 48YR,2019,1.125
HA Carsebridge 48YR,2018,0.75
HA Orphan Barrel Rhetoric 23YR,2017,1.77
HA EH Taylor Jr Barrel Proof,2016,0.9705882352941176
HA EH Taylor Jr Barrel Proof,2018,0.75
HA EH Taylor Jr Barrel Proof,2017,1.2428571428571429
HA EH Taylor Jr Barrel Proof,2019,0.75
Glenlivet 12YR Mini,2017,0.5
Glenlivet 12YR Mini,2020,0.5
Glenlivet 12YR Mini,2019,0.6428571428571429
Glenlivet 12YR Mini,2018,0.625
Rogue Voodoo Doughnut Bacon Maple Vodka,2016,9.0
Crystal Head Aurora Vodka,2017,9.0
Crystal Head Aurora Vodka,2018,4.5
Crystal Head Aurora Vodka,2020,2.7906976744186047
Crystal Head Aurora Vodka,2016,4.5
Crystal Head Aurora Vodka,2019,4.5
Crystal Head Aurora Vodka,2015,3.6125
Grey Goose L'Orange,2020,2.920353982300885
Grey Goose L'Orange,2018,2.3684210526315788
Grey Goose L'Orange,2019,2.8579545454545454
Fighting Cock Bourbon,2015,9.705882352941176
Fighting Cock Bourbon,2012,9.0
Fighting Cock Bourbon,2013,11.181818181818182
Fighting Cock Bourbon,2014,11.464285714285714
Fighting Cock Bourbon,2016,10.6875
Fighting Cock Bourbon,2017,10.0
Fighting Cock Bourbon,2018,17.25
Cointreau Mini,2019,0.5
Cointreau Mini,2017,0.5
Jacquin's Apricot Brandy,2017,9.0
Jacquin's Apricot Brandy,2020,27.0
Jacquin's Apricot Brandy,2018,10.285714285714286
Jacquin's Apricot Brandy,2019,10.5
Jacquin's Apricot Brandy,2016,9.0
JP Wisers Rye,2020,13.5
JP Wisers Rye,2018,9.0
JP Wisers Rye,2019,9.0
JP Wisers Rye,2017,9.0
Burnetts Tropical Punch,2019,6.064975247524752
Burnetts Tropical Punch,2020,6.15
Burnetts Tropical Punch,2018,6.446917808219178
Old Grand-Dad 100prf Bond Bourbon 4YR,2020,3.482897384305835
Old Grand-Dad 100prf Bond Bourbon 4YR,2019,2.8421052631578947
Pallini Raspicello,2015,4.5
Scorpion Mezcal Joven,2020,2.0778688524590163
Canadian Ltd Whisky PET,2020,6.921005385996409
Canadian Ltd Whisky PET,2019,7.135227272727272
Stock Limonce,2017,2.4545454545454546
Stock Limonce,2016,3.9107142857142856
Millet Armagnac VSOP,2016,4.5
Absolut Citron,2020,9.407817649212742
Absolut Citron,2018,12.773016650342802
Absolut Citron,2014,1.4460714285714287
Absolut Citron,2013,1.3497499999999998
Absolut Citron,2019,11.236998416050687
Absolut Citron,2012,1.2628368794326246
Absolut Citron,2015,1.0714285714285714
Smirnoff Zero Sugar Infusion Watermelon & Mint,2019,5.668269230769231
Smirnoff Zero Sugar Infusion Watermelon & Mint,2020,5.886391625615763
Hiram Walker Peppermint Schnapps Sportsman Pack,2012,7.460000000000001
Hiram Walker Peppermint Schnapps Sportsman Pack,2013,8.39
Southern Comfort 100 Prf,2016,3.1461693548387095
Southern Comfort 100 Prf,2014,4.124198146828225
Southern Comfort 100 Prf,2017,2.03125
Southern Comfort 100 Prf,2012,4.239060489060489
Southern Comfort 100 Prf,2015,4.047052556818182
Southern Comfort 100 Prf,2013,4.182712579058327
Blackheart Premium Spiced Rum Mini,2014,0.6
Seagrams Extra Smooth Vodka 1.75L w/Juicy Watermelon 50ml,2018,12.899999999999999
Seagrams Extra Smooth Vodka 1.75L w/Juicy Watermelon 50ml,2017,15.372
McCormick Whipped Cream Flavored Vodka,2014,15.75
River Baron Artisan Spirit,2020,13.5
Real McCoy 3YR,2019,4.5
Giffard Lichi Li,2018,4.5
Giffard Lichi Li,2017,7.5
Amaretto Gozio,2016,4.5
Amaretto Gozio,2015,4.5
Amaretto Gozio,2020,5.142857142857143
Obtainium Light Whiskey,2019,3.3788659793814433
Obtainium Light Whiskey,2020,2.443548387096774
Paramount Creme de Cacao White,2018,5.120967741935484
Paramount Creme de Cacao White,2020,3.5737327188940093
Paramount Creme de Cacao White,2019,4.211170212765958
Luxco-Cleveland,2012,2.0
100 Anos Azul 100% Agave,2012,14.0
100 Anos Azul 100% Agave,2013,10.5
The Glenrothes Vintage Reserve,2017,4.5
Pyrat Cask 1623,2014,4.5
Remy Martin VSOP,2017,5.0779785044591765
Remy Martin VSOP,2015,9.122346368715084
Remy Martin VSOP,2018,4.830874769797417
Remy Martin VSOP,2019,4.833806766781251
Remy Martin VSOP,2020,7.6085541149943605
Remy Martin VSOP,2014,1.462666666666667
Remy Martin VSOP,2016,4.7968122786304574
Rondiaz Spiced Apple Mini,2018,1.7333333333333334
Rondiaz Spiced Apple Mini,2019,0.8338235294117647
Bailey's Vanilla Cinnamon,2017,2.85
Bailey's Vanilla Cinnamon,2016,2.9953125
Bailey's Vanilla Cinnamon,2013,8.1117136659436
Bailey's Vanilla Cinnamon,2014,5.505235602094241
Bailey's Vanilla Cinnamon,2015,4.633561643835616
Caol Ila 30YR HA,2015,0.75
Buffalo Trace Bourbon buy the Barrel,2019,168.42857142857142
Buffalo Trace Bourbon buy the Barrel,2016,168.0
Buffalo Trace Bourbon buy the Barrel,2017,165.46153846153845
Buffalo Trace Bourbon buy the Barrel,2020,180.0
Buffalo Trace Bourbon buy the Barrel,2018,153.0
Bird Dog Peppermint Moonshine Mini,2015,1.466666666666667
Bird Dog Peppermint Moonshine Mini,2014,1.058823529411765
Branca Menta,2018,9.0
Branca Menta,2015,4.5
Branca Menta,2017,4.5
Branca Menta,2019,12.0
Jack Daniels Old #7 Black Label Square,2019,3.295568589116977
Jack Daniels Old #7 Black Label Square,2018,3.282007299270074
Jack Daniels Old #7 Black Label Square,2020,3.6287946620749048
Patron XO Cafe w/ Dark Cocoa Tower,2012,3.8035714285714284
Jose Cuervo Authentic Raspberry Margarita,2018,7.371875
Jose Cuervo Authentic Raspberry Margarita,2019,13.971108490566039
Jose Cuervo Authentic Raspberry Margarita,2020,13.34921875
Fireball Cinnamon Whiskey 100ml Carrier,2019,1.5405117270788908
Fireball Cinnamon Whiskey 100ml Carrier,2020,1.2558597502401543
Corralejo Reposado w/Shot Glasses,2016,4.345588235294118
Corralejo Reposado w/Shot Glasses,2015,4.830882352941177
Marksman,2020,5.8563829787234045
Kahlua Rtd Raspberry White Russian,2012,31.5
Passion XO Pink,2014,1.65
Passion XO Pink,2013,2.6184210526315788
"\"Sidney Frank Importing Company",2016,39.08
Arran Malt 10YR,2020,6.3
Arran Malt 10YR,2019,4.5
Kah Blanco Mini,2013,7.2
Kah Blanco Mini,2012,0.4558593749999999
Tgif On The Rocks Long Island Ice Tea,2012,4.566079295154185
Tgif On The Rocks Long Island Ice Tea,2013,3.713235294117647
Jim Beam Devils Cut,2020,3.140769230769231
Jim Beam Devils Cut,2018,2.198497854077253
Jim Beam Devils Cut,2019,2.33856783919598
HA Glen Grant 15YR,2020,0.75
HA Glen Grant 15YR,2018,2.4038461538461537
Crown Royal Hand Selected Barrel #2593,2015,189.0
Jim Beam Distiller's Masterpiece HA,2015,1.875
Jim Beam Distiller's Masterpiece HA,2016,0.75
Jim Beam Distiller's Masterpiece HA,2014,0.75
Ole Smoky Strawberry Moonshine,2020,9.0
Ole Smoky Strawberry Moonshine,2017,18.0
Cole Swindells Pre Show Punch Moonshine,2020,4.5
Midleton Rare,2016,4.5
Midleton Rare,2017,4.0
Tooters Blu-Dacious Kamikazi Mini,2018,1.282505643340858
Tooters Blu-Dacious Kamikazi Mini,2016,1.6403424657534242
Tooters Blu-Dacious Kamikazi Mini,2020,1.6899999999999997
Tooters Blu-Dacious Kamikazi Mini,2017,1.5167397260273967
Tooters Blu-Dacious Kamikazi Mini,2019,1.3169761904761905
Cupcake Vodka Original,2012,3.1693548387096775
Mr. Boston Blue Curacao,2020,7.56140350877193
Christian Bros Brandy Square,2019,9.046511627906977
Christian Bros Brandy Square,2020,7.836363636363636
Pueblo Viejo Blanco Tequila,2017,9.0
99 Vodka mini,2017,6.0
Hendricks Midsummer Solstice,2019,4.2275390625
Hendricks Midsummer Solstice,2020,4.422866520787746
Smirnoff Sourced Cranberry Apple Mini,2016,1.3761904761904762
Caliber Spiced Rum,2020,11.064992331288343
Caliber Spiced Rum,2018,10.614396654719235
Caliber Spiced Rum,2017,11.174124513618677
Caliber Spiced Rum,2019,10.540394638868205
Buchanan Deluxe 12YO,2018,1.4789285714285716
Buchanan Deluxe 12YO,2019,1.5323255813953491
Buchanan Deluxe 12YO,2017,1.3602409638554216
Buchanan Deluxe 12YO,2016,2.878378378378379
Paul Masson Mango Grande Amber Brandy Mini,2017,0.12368421052631581
Paul Masson Mango Grande Amber Brandy Mini,2018,0.24636363636363634
Paul Masson Mango Grande Amber Brandy Mini,2019,1.14
Malibu Island Spiced Mini,2013,1.6379310344827587
Jose Cuervo Authentic Red Sangria,2018,7.0546875
Smirnoff 80prf Ornament,2019,14.28125
Smirnoff 80prf Ornament,2020,4.5
Ezra Brooks Cinnamon,2014,4.18125
Ezra Brooks Cinnamon,2013,4.657894736842105
Glenmorangie Grand Vintage 1996,2020,0.75
HA EH Taylor 18YR Marriage,2020,0.75
Smirnoff Sorbet Light Pineapple Coconut Mini,2014,1.4166666666666667
Smirnoff Sorbet Light Pineapple Coconut Mini,2013,0.75
Hiram Walker Crm De Banana,2016,13.5
Hiram Walker Crm De Banana,2013,9.0
Hiram Walker Crm De Banana,2014,9.0
Hiram Walker Crm De Banana,2015,9.0
Hiram Walker Crm De Banana,2017,18.0
Hiram Walker Crm De Banana,2012,9.0
Bernheim Original Wheat Whiskey HA,2016,1.02
Finlandia Grapefruit,2012,5.382911392405063
Finlandia Grapefruit,2013,2.806451612903226
Lunazul Blanco Mini,2014,0.9318181818181818
Stolichnaya Variety Mini Bar,2016,0.5674999999999999
Stolichnaya Variety Mini Bar,2017,0.08333333333333333
Kahlua Vanilla,2019,6.212903225806452
Kahlua Vanilla,2018,5.3
Kahlua Vanilla,2020,4.408163265306122
Pimm's Blackberry & Elderflower,2014,9.0
Crown Royal W/50ml Crown Royal Black,2012,22.704225352112676
Parrot Bay Strawberry,2020,6.554597701149425
Parrot Bay Strawberry,2019,6.380044843049327
Parrot Bay Strawberry,2018,5.135416666666667
Smirnoff Zero Sugar Infusion Strawberry & Rose,2019,5.660330578512396
Smirnoff Zero Sugar Infusion Strawberry & Rose,2020,5.722916666666666
HA High West A Midwinter Nights Dram,2019,1.0142045454545454
HA High West A Midwinter Nights Dram,2017,1.4817073170731707
Lone Whisker 12 Year Old Bourbon,2020,4.5
Glenkinchie Sing Malt Scotch 12yr HA,2015,1.4210526315789473
Glenkinchie Sing Malt Scotch 12yr HA,2013,9.0
Glenkinchie Sing Malt Scotch 12yr HA,2014,1.6071428571428572
Glenkinchie Sing Malt Scotch 12yr HA,2012,9.0
Maker's Mark Cask Strength HA,2015,2.934065934065934
Maker's Mark Cask Strength HA,2016,2.4211428571428573
Smirnoff Grape,2019,5.698757763975156
Smirnoff Grape,2020,5.57054794520548
Smirnoff Grape,2018,5.05718954248366
Smirnoff Grape,2015,4.940972222222222
Smirnoff Grape,2017,5.371809744779583
Smirnoff Grape,2016,4.942446043165468
HA Oban Little Bay,2018,4.232142857142857
HA Oban Little Bay,2017,3.8152173913043477
HA Oban Little Bay,2019,2.1809210526315788
Breckenridge Bourbon HA,2014,3.853448275862069
Breckenridge Bourbon HA,2013,5.0625
Hangar One Fraser River Raspberry Vodka,2012,3.642857142857143
Label 5,2012,4.892857142857143
Label 5,2013,3.4444444444444446
Label 5,2015,9.0
SOOH 1792 Full Proof,2020,4.920731707317073
SOOH 1792 Full Proof,2019,4.5
Hawkeye Grape,2013,3.7045454545454546
Hawkeye Grape,2012,8.345454545454546
LUXCO INC,2017,10.782178217821782
LUXCO INC,2020,14.625954198473282
LUXCO INC,2018,11.068027210884354
LUXCO INC,2019,13.31791907514451
LUXCO INC,2016,10.827586206896552
Arrow Gin,2016,3.6257812500000006
Arrow Gin,2017,3.7183333333333337
Sobieski Orange,2017,19.2
Sobieski Orange,2018,24.0
Sobieski Orange,2016,12.0
Sobieski Orange,2019,12.0
St. Remy Xo Napoleon Brandy,2016,9.0
The Dalmore Port Wood Reserve w/ Glasses,2020,1.0714285714285714
Salvadors Original Margarita 4pk,2020,7.091063829787233
Salvadors Original Margarita 4pk,2019,5.558974358974358
Polar Ice,2017,14.372685185185185
Polar Ice,2019,5.25
Polar Ice,2018,10.271153846153846
Cazadores Reposado,2018,3.4662379421221865
Cazadores Reposado,2016,2.8451612903225807
Cazadores Reposado,2017,3.3228908188585606
Cazadores Reposado,2020,5.155771495877503
Cazadores Reposado,2019,4.314994882292733
El Charro Reposado,2017,9.0
Centinela Anejo Tequila,2013,9.0
Centinela Anejo Tequila,2018,9.0
